LawID,TypeID,TypeDesc,SubTypeID,SubTypeDesc,KnessetNum,Name,PublicationDate,PublicationSeriesID,PublicationSeriesDesc,MagazineNumber,PageNumber,LastUpdatedDate
2001421,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",10,"תיקון טעות בחוק הבזק, התשמ""ב-1982",1/4/1984 0:00,6071,ספר החוקים,1102,1102,9/10/2014 14:27
2001422,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",12,"תיקון טעות בחוק הבזק (תיקון מס' 6), התשמ""ב-1982",12/7/1989 0:00,6071,ספר החוקים,1291,1291,9/10/2014 14:27
2001423,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",12,"תיקון טעות בחוק הבזק (תיקון מס' 6), התשמ""ב-1982",12/31/1989 0:00,6071,ספר החוקים,1297,1297,9/10/2014 14:27
2001424,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",14,"תיקון טעות דפוס בחוק הבזק (תיקון מס' 13), התשנ""ו-1996",12/30/1998 0:00,6071,ספר החוקים,1696,1696,1/27/2021 22:39
2001425,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",17,"תיקון טעות הסדרים במשק המדינה (תיקוני חקיקה להשגת יעדי התקציב והמדיניות הכלכלית לשנת הכספים 2007), התשס""ז-2007",5/21/2007 0:00,6071,ספר החוקים,2095,2095,9/10/2014 14:27
2001426,6001,תיקון טעות,6052,"תיקון לפי ס' 10ב לפסש""מ",6,"תיקון טעות דפוס בחוק הבחירות לכנסת (תיקון מס' 8), התשכ""ט-1968",11/28/1968 0:00,6071,ספר החוקים,545,545,1/27/2021 22:39
2001427,6002,חוק בן חיצוני,6043,מנדטורי,,"דבר המלך על הטיס במושבות (הטלת חוקים), 1937",7/29/1937 0:00,6078,עיתון רשמי מנדטורי,תוס' 2 - 707,תוס' 2 - 707,7/2/2019 9:42
2001428,6002,חוק בן חיצוני,6043,מנדטורי,,פקודת הנישואין והגירושין (רישום),12/31/1933 0:00,6074,חוקי ארץ ישראל,ב' - פח,ב' - פח,11/17/2019 15:26
2001429,6002,חוק בן חיצוני,6043,מנדטורי,,"דבר המלך על חוק זכות יוצרים, 1911 (הטלתו על ארץ ישראל), 1924",3/21/1924 0:00,6074,חוקי ארץ ישראל,ג',ג',7/3/2019 11:31
2001430,6002,חוק בן חיצוני,6043,מנדטורי,,"פקודת הפיקוח על פרי ההדר, 1940",10/18/1940 0:00,6078,עיתון רשמי מנדטורי,תוס' 1 - 1052,תוס' 1 - 1052,5/14/2019 13:26
2001431,6002,חוק בן חיצוני,6045,מועצת המדינה הזמנית,,"פקודת פרי ההדר (פיקוח ושיווק), התש""ח-1948",6/23/1948 0:00,6073,עיתון רשמי-מועצת המדינה הזמנית,תוס' א' - 6,תוס' א' - 6,9/10/2014 14:27
2001432,6001,תיקון טעות,6051,"תיקון לפי ס' 10א לפשס""מ – אחרי פרסום החוק",0,"תיקון טעות בפקודת פרי ההדר (פיקוח ושיווק), התש""ח-1948",10/1/1948 0:00,6073,עיתון רשמי-מועצת המדינה הזמנית,תוס' א',תוס' א',2/16/2021 15:34
